person,label
00091926,0.57147247
00091a7a,0.8603922
000ba417,0.5772318
000e4d9e,0.6578248
000e619d,0.16470693
001001be,0.15204953
0010e89a,0.07236953
0016c4b5,0.06693521
001804a2,0.12253653
001a2273,0.06693521
00202cdb,0.086755484
0022965d,0.61154765
0027574e,0.226353
00295d74,0.11331811
002aea56,0.44451368
002ed810,0.36596623
002fb981,0.2785642
00344873,0.06693521
0038a117,0.89272916
003a05bf,0.21926388
003d07ef,0.70796597
003e7507,0.06693521
00408349,0.06693521
0041fec6,0.27854967
0043a48e,0.11012853
00546f4c,0.45252323
00556ee5,0.09205384
0059a996,0.66306156
005af223,0.80525947
005e06ef,0.08077805
0061cbe8,0.7305615
006549da,0.3829673
006bb312,0.06693521
006cabc5,0.50530595
006e1534,0.06693521
006fc943,0.881446
00750af8,0.28918803
00754f5e,0.102475666
0076b7dc,0.34761474
007743ca,0.075452924
007a0564,0.09792126
0081cd73,0.06693521
0081f590,0.06693521
008287e4,0.19390036
0083c22c,0.075452924
0087d959,0.69426465
0089421c,0.8413033
008a6d00,0.15791456
008b4a48,0.075452924
008f480f,0.7717832
008f739f,0.2727665
009648f0,0.847623
00970caa,0.2699946
009944e1,0.18923242
009f8292,0.14457819
00a2efc2,0.33540872
00af50bb,0.18497075
00b0fe02,0.06693521
00b1b9d0,0.5888478
00b5303d,0.20009439
00b6642b,0.22435191
00b8bba9,0.3338463
00caa482,0.7847816
00cd1373,0.7806198
00cde0db,0.3791368
00d618ba,0.4681554
00d8d869,0.24424738
00dcc618,0.15807435
00e0e219,0.102475666
00e2e06b,0.10157759
00f1575c,0.8650579
00f369ef,0.2760683
00f4620f,0.075452924
00f5c8be,0.8392209
00fd99c6,0.118333384
00ff2c51,0.20576173
010200b5,0.14981009
01022bf3,0.5061458
01039bf1,0.5627272
010750dc,0.63786906
01094049,0.27472222
010b0b0b,0.627802
010f9396,0.07604264
01102549,0.06693521
01126aa4,0.06693521
01127f1d,0.06693521
01183209,0.20129453
0121c41e,0.31635857
0126d440,0.06693521
0129072b,0.09426029
012af91b,0.14955743
012b81de,0.35391724
012cd55c,0.086755484
012d8fd8,0.7197293
0137a57b,0.4518815
013a0e3a,0.8158869
013dc935,0.06693521
013e1cd0,0.40936968
013ef20d,0.06693521
013fce70,0.112134345
0144bd58,0.9184853
0146ecbc,0.06693521
014853d4,0.28803644
015fb139,0.25878084
01638753,0.86914694
0163bf88,0.21282808
016419e1,0.06693521
01696aab,0.74915445
016b86b9,0.8071293
016d0c8f,0.77204794
016f3833,0.40818462
01716e05,0.06693521
01798556,0.5526967
017a84d1,0.073032774
017d35dc,0.16369982
017fd805,0.5852373
018598e8,0.15781926
018adf26,0.8591345
