,person,cantidad_sesiones,promedio_sesiones_sec,tiempo_total_sesiones_sec,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,act_ult_30_dias,act_ult_20_dias,act_ult_15_dias,act_ult_5_dias,act_ult_1_dias,act_ult_25_dias,act_ult_10_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,label
19,001b0bf9,1,918.0000000000001,918.0000000000001,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1,0,1,9,9,9,7,7.0,7.0,7.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
42,003476c0,4,249.00000000000003,997.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0,0,43,107,19,107,43,14.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,003847fc,17,934.0000000000001,15885.000000000002,29.0,1.0,2.0,32.0,0.90625,0.0625,0.03125,32.0,7.0,9.0,0,0,102,14,0,14,102,102.0,102.0,102.0,6.0,6.0,102.0,62.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
50,003d4cac,3,37.0,110.0,1.0,1.0,0.0,2.0,0.5,0.0,0.5,2.0,2.0,2.0,0,0,8,69,35,69,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,003dd965,1,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,15,15,15,5,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,0042421c,2,536.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,8.0,0,0,22,90,51,90,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,006671fd,2,122.00000000000001,245.00000000000003,2.0,13.0,0.0,15.0,0.13333333333333333,0.0,0.8666666666666667,15.0,5.0,11.0,0,0,18,33,33,33,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,007537e8,2,46.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0,0,12,12,5,12,12,12.0,12.0,12.0,0.0,0.0,12.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
92,007ddac1,1,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,7,9,9,9,7,7.0,7.0,7.0,0.0,0.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
98,0086ee61,1,902.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,0,0,10,13,13,13,10,10.0,10.0,10.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
122,00afd018,6,48.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13.0,0,0,33,105,3,105,33,27.0,27.0,27.0,22.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,00beac49,4,614.0,2455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,0,0,23,15,13,15,23,23.0,23.0,17.0,0.0,0.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
165,00fa4cd7,18,335.0,6024.0,20.0,7.0,0.0,27.0,0.7407407407407407,0.0,0.25925925925925924,27.0,11.0,13.0,0,1,69,9,8,9,98,98.0,98.0,98.0,23.0,5.0,98.0,98.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
217,0143d796,1,1392.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,13.0,0,0,24,2,2,2,24,24.0,24.0,24.0,24.0,0.0,24.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
252,016efcb7,8,814.0,6512.0,6.0,0.0,24.0,30.0,0.2,0.8,0.0,60.0,11.0,32.0,0,0,140,61,14,61,140,54.0,40.0,29.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,01914d78,12,411.0,4933.0,3.0,130.0,0.0,133.0,0.022556390977443608,0.0,0.9774436090225563,133.0,7.0,54.0,0,0,169,70,15,70,169,107.0,57.0,0.0,0.0,0.0,96.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
285,01a5aa29,5,1397.0,6983.0,37.0,1.0,43.0,81.0,0.4567901234567901,0.5308641975308642,0.012345679012345678,85.0,15.0,40.0,0,0,105,2,0,2,105,105.0,105.0,105.0,105.0,26.0,105.0,105.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
296,01b12d02,1,403.0,403.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,7.0,8.0,0,0,14,15,15,15,14,14.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
325,01ed2afc,1,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0,0,7,9,9,9,7,7.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
328,01f12f08,2,265.0,530.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0,0,11,16,16,16,11,11.0,11.0,0.0,0.0,0.0,11.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
341,02005e21,9,911.0,8197.0,10.0,2.0,2.0,14.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,14.0,6.0,9.0,0,1,43,15,15,15,50,50.0,50.0,7.0,0.0,0.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
343,0202e763,9,350.0,3149.0,21.0,48.0,56.0,125.0,0.168,0.448,0.384,128.0,14.0,72.0,0,0,166,12,0,12,166,166.0,166.0,166.0,88.0,11.0,166.0,160.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
448,02875920,4,99.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,0,0,29,57,7,57,29,22.0,22.0,17.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
488,02c30caa,17,56.0,955.0000000000001,4.0,0.0,3.0,7.0,0.5714285714285714,0.42857142857142855,0.0,7.0,5.0,5.0,1,0,20,8,0,8,49,49.0,49.0,49.0,7.0,1.0,49.0,49.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
502,02dbbcba,3,1092.0,3275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,11.0,0,0,40,16,13,16,40,40.0,40.0,32.0,0.0,0.0,40.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
534,02fc0bf8,34,898.0,30543.000000000004,6.0,126.0,1.0,133.0,0.045112781954887216,0.007518796992481203,0.9473684210526315,134.0,14.0,48.0,1,0,173,20,10,21,298,298.0,149.0,39.0,0.0,0.0,298.0,0.0,16.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0
556,031fcae5,27,773.0,20875.0,145.0,131.0,0.0,276.0,0.5253623188405797,0.0,0.4746376811594203,276.0,19.0,89.0,0,0,372,72,1,72,372,121.0,29.0,29.0,5.0,0.0,73.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
602,036647bb,3,904.0,2712.0,5.0,2.0,4.0,11.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,12.0,9.0,10.0,0,0,22,7,6,7,22,22.0,22.0,22.0,0.0,0.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
607,036cdf5a,4,180.0,721.0,1.0,6.0,0.0,7.0,0.14285714285714285,0.0,0.8571428571428571,7.0,4.0,5.0,0,0,33,15,12,15,33,33.0,33.0,25.0,0.0,0.0,33.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
610,03754d73,7,323.0,2258.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,37,48,5,48,37,9.0,9.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
671,03c6c909,1,219.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,9,9,9,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
676,03c99f07,5,459.00000000000006,2294.0,3.0,0.0,3.0,6.0,0.5,0.5,0.0,6.0,3.0,5.0,0,0,43,2,0,2,43,43.0,43.0,43.0,43.0,33.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
688,03db7c49,2,1028.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,5,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
689,03db7c49,2,1028.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,5,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
690,03db7c49,2,1028.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,1,1,1,5,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
