,person,cant_sesiones_inac45MIN_ult_9999_dias,promedio_sesiones_sec_inac45MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac45MIN_ult_9999_dias,cant_sesiones_inac45MIN_ult_30_dias,promedio_sesiones_sec_inac45MIN_ult_30_dias,tiempo_total_sesiones_sec_inac45MIN_ult_30_dias,cant_sesiones_inac45MIN_ult_25_dias,promedio_sesiones_sec_inac45MIN_ult_25_dias,tiempo_total_sesiones_sec_inac45MIN_ult_25_dias,cant_sesiones_inac45MIN_ult_20_dias,promedio_sesiones_sec_inac45MIN_ult_20_dias,tiempo_total_sesiones_sec_inac45MIN_ult_20_dias,cant_sesiones_inac45MIN_ult_15_dias,promedio_sesiones_sec_inac45MIN_ult_15_dias,tiempo_total_sesiones_sec_inac45MIN_ult_15_dias,cant_sesiones_inac45MIN_ult_10_dias,promedio_sesiones_sec_inac45MIN_ult_10_dias,tiempo_total_sesiones_sec_inac45MIN_ult_10_dias,cant_sesiones_inac45MIN_ult_5_dias,promedio_sesiones_sec_inac45MIN_ult_5_dias,tiempo_total_sesiones_sec_inac45MIN_ult_5_dias,cant_sesiones_inac45MIN_ult_1_dias,promedio_sesiones_sec_inac45MIN_ult_1_dias,tiempo_total_sesiones_sec_inac45MIN_ult_1_dias,cant_sesiones_inac30MIN_ult_9999_dias,promedio_sesiones_sec_inac30MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac30MIN_ult_9999_dias,cant_sesiones_inac30MIN_ult_30_dias,promedio_sesiones_sec_inac30MIN_ult_30_dias,tiempo_total_sesiones_sec_inac30MIN_ult_30_dias,cant_sesiones_inac30MIN_ult_25_dias,promedio_sesiones_sec_inac30MIN_ult_25_dias,tiempo_total_sesiones_sec_inac30MIN_ult_25_dias,cant_sesiones_inac30MIN_ult_20_dias,promedio_sesiones_sec_inac30MIN_ult_20_dias,tiempo_total_sesiones_sec_inac30MIN_ult_20_dias,cant_sesiones_inac30MIN_ult_15_dias,promedio_sesiones_sec_inac30MIN_ult_15_dias,tiempo_total_sesiones_sec_inac30MIN_ult_15_dias,cant_sesiones_inac30MIN_ult_10_dias,promedio_sesiones_sec_inac30MIN_ult_10_dias,tiempo_total_sesiones_sec_inac30MIN_ult_10_dias,cant_sesiones_inac30MIN_ult_5_dias,promedio_sesiones_sec_inac30MIN_ult_5_dias,tiempo_total_sesiones_sec_inac30MIN_ult_5_dias,cant_sesiones_inac30MIN_ult_1_dias,promedio_sesiones_sec_inac30MIN_ult_1_dias,tiempo_total_sesiones_sec_inac30MIN_ult_1_dias,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,mod_mas_visto_ult_9999_dias,total_vistos_ult_9999_dias,%_mas_visto_ult_9999_dias,mod_mas_visto_ult_30_dias,total_vistos_ult_30_dias,%_mas_visto_ult_30_dias,mod_mas_visto_ult_25_dias,total_vistos_ult_25_dias,%_mas_visto_ult_25_dias,mod_mas_visto_ult_20_dias,total_vistos_ult_20_dias,%_mas_visto_ult_20_dias,mod_mas_visto_ult_15_dias,total_vistos_ult_15_dias,%_mas_visto_ult_15_dias,mod_mas_visto_ult_10_dias,total_vistos_ult_10_dias,%_mas_visto_ult_10_dias,mod_mas_visto_ult_5_dias,total_vistos_ult_5_dias,%_mas_visto_ult_5_dias,mod_mas_visto_ult_1_dias,total_vistos_ult_1_dias,%_mas_visto_ult_1_dias,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,check_ult_9999_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,ult_checkout_dias,ult_checkout_segundos,mod_dist_check_ult_9999_dias,mod_dist_check_ult_30_dias,mod_dist_check_ult_25_dias,mod_dist_check_ult_20_dias,mod_dist_check_ult_15_dias,mod_dist_check_ult_10_dias,mod_dist_check_ult_5_dias,mod_dist_check_ult_1_dias,act_ult_9999_dias,act_ult_30_dias,act_ult_25_dias,act_ult_20_dias,act_ult_15_dias,act_ult_10_dias,act_ult_5_dias,act_ult_1_dias,conv_ult_9999_dias,conv_ult_30_dias,conv_ult_25_dias,conv_ult_20_dias,conv_ult_15_dias,conv_ult_10_dias,conv_ult_5_dias,conv_ult_1_dias,country_0,country_1,country_2,country_3,country_4,country_5,country_6,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,city_0,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,label
24,002b0188,2,474.00000000000006,948.0000000000001,1.0,644.0,644.0,1.0,644.0,644.0,1.0,644.0,644.0,1.0,644.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,474.00000000000006,948.0000000000001,1.0,644.0,644.0,1.0,644.0,644.0,1.0,644.0,644.0,1.0,644.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,12.0,9.0,11.0,3.0,12.0,0.25,2.0,8.0,0.25,2.0,8.0,0.25,2.0,8.0,0.25,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,38,76,14,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,6612025.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
31,003476c0,4,249.00000000000003,997.0000000000001,1.0,158.0,158.0,1.0,158.0,158.0,1.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,249.00000000000003,997.0000000000001,1.0,158.0,158.0,1.0,158.0,158.0,1.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,5.0,6.0,0.8333333333333334,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,43,107,19,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0
38,003d4cac,3,37.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,37.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,0.0,0.5,2.0,2.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,69,35,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4505280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
39,003dd965,1,77.0,77.0,1.0,77.0,77.0,1.0,77.0,77.0,1.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,77.0,77.0,1.0,77.0,77.0,1.0,77.0,77.0,1.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,15,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1.0
43,0042421c,2,536.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,536.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,8.0,3.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22,90,51,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0
57,006671fd,2,122.00000000000001,245.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,122.00000000000001,245.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,15.0,0.13333333333333333,0.0,0.8666666666666667,15.0,5.0,11.0,7.0,15.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,33,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.0
106,00c2307c,3,1978.0000000000002,5933.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,0.0,0.0,0.0,3,1978.0000000000002,5933.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,2.0,1177.0,2354.0,0.0,0.0,0.0,68.0,3.0,0.0,71.0,0.9577464788732394,0.0,0.04225352112676056,71.0,8.0,30.0,22.0,71.0,0.30985915492957744,22.0,24.0,0.9166666666666666,22.0,24.0,0.9166666666666666,22.0,24.0,0.9166666666666666,22.0,24.0,0.9166666666666666,22.0,24.0,0.9166666666666666,22.0,24.0,0.9166666666666666,0.0,0.0,0.0,0,0,83,58,2,58,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,250819.00000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,83,31.0,31.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
110,00c9a4eb,1,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,0,0,7,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,84549.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0
148,011120d7,2,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,0.0,0.0,0.0,2,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,2.0,74.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,7,4,4,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,371977.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
178,0143d796,1,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,0.0,0.0,0.0,1,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,13.0,7.0,18.0,0.3888888888888889,7.0,18.0,0.3888888888888889,7.0,18.0,0.3888888888888889,7.0,18.0,0.3888888888888889,7.0,18.0,0.3888888888888889,7.0,18.0,0.3888888888888889,7.0,18.0,0.3888888888888889,0.0,0.0,0.0,0,0,24,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,235377.00000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0
