,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
33,002b0188,0,38,76,12.0,9.0,11.0,76,14,38,0.0
42,003476c0,0,43,107,6.0,2.0,3.0,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,90,51,22,1.0
60,004b8d91,0,37,17,10.0,9.0,9.0,17,3,37,0.0
77,006671fd,0,18,33,15.0,5.0,11.0,33,33,18,1.0
132,00c2307c,0,83,58,71.0,8.0,30.0,58,2,83,0.0
136,00c9a4eb,0,7,0,4.0,1.0,3.0,0,0,7,0.0
155,00e3c94f,0,6,0,2.0,1.0,2.0,0,0,6,0.0
159,00ecfd1a,1,8,16,2.0,2.0,2.0,15,6,46,0.0
185,011120d7,0,7,4,1.0,1.0,1.0,4,4,7,0.0
205,013136c4,0,7,14,1.0,1.0,1.0,14,14,7,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,2,2,24,1.0
276,0195ed3b,0,4,6,1.0,1.0,1.0,6,6,4,0.0
284,01a46372,1,2,8,0.0,0.0,0.0,6,3,16,0.0
316,01cf1230,0,28,16,11.0,3.0,7.0,16,12,28,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,9,9,7,1.0
333,01f38aae,1,11,18,10.0,1.0,7.0,8,8,58,0.0
351,0211eed9,1,35,45,7.0,1.0,3.0,20,3,139,0.0
365,0227ae9b,0,8,10,1.0,1.0,1.0,10,10,8,0.0
378,0234045a,0,34,76,19.0,13.0,15.0,76,12,34,0.0
448,02875920,0,29,57,7.0,3.0,6.0,57,7,29,1.0
450,02878a11,0,16,19,4.0,1.0,2.0,19,12,16,0.0
476,02b02d37,0,8,0,2.0,1.0,1.0,0,0,8,0.0
497,02d1f846,0,4,8,1.0,1.0,1.0,8,8,4,0.0
535,02fe14e6,0,32,27,17.0,10.0,13.0,27,20,32,0.0
548,0310a8cd,0,6,8,2.0,1.0,1.0,8,8,6,0.0
554,031e80e3,0,18,10,2.0,1.0,1.0,10,10,18,0.0
556,031fcae5,0,372,72,276.0,19.0,89.0,72,1,372,0.0
580,03490d00,0,13,15,7.0,1.0,5.0,15,15,13,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,48,5,37,1.0
640,03a67237,0,13,2,2.0,1.0,1.0,2,2,13,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,1,1,5,1.0
720,0404e68f,0,168,70,80.0,12.0,45.0,70,12,168,1.0
722,0406c39e,0,8,13,2.0,1.0,1.0,13,13,8,0.0
738,041dc456,0,8,15,5.0,1.0,2.0,15,15,8,1.0
752,0432dba1,0,25,11,13.0,1.0,6.0,11,6,25,0.0
774,043ec736,1,324,102,99.0,38.0,65.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,5,5,89,1.0
800,046642cb,0,28,13,13.0,1.0,6.0,13,2,28,0.0
835,04877609,6,40,70,9.0,7.0,7.0,58,2,127,0.0
858,049da6d9,0,11,4,3.0,1.0,2.0,4,4,11,0.0
883,04bbc907,0,343,113,213.0,22.0,66.0,113,37,343,1.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,75,12,23,1.0
930,0518b8f2,0,31,79,26.0,3.0,13.0,79,2,31,0.0
934,052078d1,0,41,120,29.0,1.0,11.0,120,43,41,1.0
942,05288788,0,12,12,2.0,1.0,1.0,12,12,12,0.0
958,053ca79c,0,144,21,59.0,19.0,29.0,21,6,144,0.0
971,0548aae1,0,9,14,3.0,1.0,2.0,14,14,9,0.0
982,05596145,0,68,7,37.0,5.0,11.0,7,1,68,1.0
1000,057b8da0,0,10,11,5.0,1.0,3.0,11,11,10,0.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,123,1,129,1.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,107,35,124,1.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,11,224,1.0
1096,062814c7,0,4,11,1.0,1.0,1.0,11,11,4,0.0
1097,06286d66,0,5,16,1.0,1.0,1.0,16,16,5,0.0
1121,065d92a9,0,6,1,1.0,1.0,1.0,1,1,6,0.0
1134,0673c72a,0,66,48,22.0,5.0,14.0,48,9,66,0.0
1164,06989c88,0,415,76,282.0,34.0,115.0,76,1,415,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,27,27,8,1.0
1191,06b31ab4,0,8,3,2.0,1.0,1.0,3,3,8,0.0
1205,06c929c1,0,35,3,13.0,1.0,8.0,3,2,35,0.0
1232,06dcde6c,0,16,23,4.0,3.0,3.0,23,0,16,0.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,17,0,125,1.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,15,6,31,1.0
1287,073e697a,0,39,49,7.0,3.0,7.0,49,13,39,1.0
1316,07709f79,0,48,0,21.0,6.0,17.0,0,0,48,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,139,2,634,1.0
1361,07b7d242,0,89,16,41.0,19.0,30.0,16,4,90,0.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,134,1,276,1.0
1425,08081d75,0,35,1,20.0,10.0,17.0,1,1,35,0.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,2,2,75,1.0
1470,084482af,0,53,24,20.0,9.0,14.0,24,2,53,1.0
1477,08495405,0,46,7,35.0,4.0,20.0,7,7,46,0.0
1502,087d0669,2,7,29,4.0,4.0,4.0,14,11,54,0.0
1544,08ae1a50,0,23,7,8.0,3.0,6.0,7,6,23,0.0
1569,08d10353,0,15,11,8.0,1.0,4.0,11,0,15,0.0
1586,08e4065d,1,13,14,3.0,3.0,3.0,14,13,19,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,0,0,8,1.0
1644,0947f818,0,14,0,5.0,1.0,3.0,0,0,14,0.0
1659,0960e2d5,0,27,16,9.0,3.0,8.0,16,2,27,0.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,11,9,16,1.0
1708,09adf503,0,149,16,99.0,13.0,50.0,16,2,149,1.0
1719,09c4c6e5,0,31,7,19.0,2.0,8.0,7,6,31,0.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,29,1,236,1.0
1728,09da563f,0,590,13,545.0,49.0,253.0,13,2,590,0.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,5,4,77,1.0
1862,0a6e141e,0,6,16,1.0,1.0,1.0,16,16,6,0.0
1868,0a7349eb,0,33,11,9.0,3.0,7.0,11,10,33,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,28,22,65,1.0
1905,0ab18c72,0,4,3,1.0,1.0,1.0,3,3,4,0.0
1915,0ab9f8a6,0,21,15,4.0,4.0,4.0,15,6,21,0.0
1958,0ae8b154,0,3,3,1.0,1.0,1.0,3,3,3,1.0
1967,0af42006,0,155,64,117.0,22.0,67.0,64,2,155,1.0
1982,0b12e0b1,0,85,10,42.0,19.0,32.0,10,10,85,0.0
1994,0b22d4ea,0,5,2,1.0,1.0,1.0,2,2,5,0.0
2014,0b3bbfa4,1,18,79,3.0,3.0,3.0,3,3,220,0.0
2019,0b482f87,0,30,9,22.0,2.0,12.0,9,9,30,0.0
2035,0b6362c8,0,68,17,49.0,7.0,40.0,17,7,68,0.0
2050,0b704cee,0,158,20,61.0,16.0,48.0,20,3,158,0.0
2058,0b7efe35,0,9,0,2.0,1.0,2.0,0,0,9,0.0
2068,0b8f5734,0,4,8,1.0,1.0,1.0,8,8,4,0.0
2108,0bbc2081,0,48,68,12.0,2.0,8.0,68,0,48,0.0
2115,0bcd837e,0,3,5,0.0,0.0,0.0,5,2,3,0.0
2132,0be3f5e5,2,136,86,48.0,19.0,37.0,60,49,460,1.0
2154,0c00db19,0,15,0,4.0,1.0,2.0,0,0,15,1.0
2171,0c1a429c,0,7,67,2.0,1.0,1.0,67,67,7,0.0
2185,0c371de2,0,2,8,0.0,0.0,0.0,8,8,2,0.0
2205,0c5d20b7,0,4,2,1.0,1.0,1.0,2,2,4,0.0
2224,0c8da283,0,1,16,0.0,0.0,0.0,16,16,1,0.0
2231,0c962c1c,0,12,28,2.0,2.0,2.0,28,12,12,1.0
2233,0c9747ae,0,7,11,1.0,1.0,1.0,11,11,7,0.0
2265,0cd9549e,0,4,2,1.0,1.0,1.0,2,2,4,0.0
2299,0d0ae658,0,4,15,1.0,1.0,1.0,15,15,4,0.0
2314,0d1af2db,0,21,0,17.0,5.0,15.0,0,0,21,1.0
2330,0d373bf6,0,22,8,12.0,3.0,5.0,8,0,22,0.0
2373,0d68d38e,3,13,48,7.0,5.0,6.0,1,1,119,1.0
2376,0d6f5cd2,0,47,10,33.0,7.0,17.0,10,7,47,1.0
2384,0d79ae9e,0,8,1,5.0,1.0,2.0,1,1,8,1.0
2405,0d9c997e,0,18,11,7.0,3.0,6.0,11,11,18,0.0
2411,0da5ecfc,2,292,40,186.0,21.0,60.0,28,0,501,1.0
2423,0db8d1ed,0,42,33,7.0,1.0,2.0,33,6,42,0.0
2435,0dc5a75b,0,28,134,14.0,2.0,8.0,134,134,28,0.0
2437,0dc7138f,0,128,1,82.0,22.0,43.0,1,0,128,1.0
2465,0e04d330,0,12,45,4.0,2.0,4.0,45,38,12,0.0
2483,0e226c87,0,25,6,16.0,4.0,11.0,6,6,25,0.0
2507,0e43f95a,2,8,10,0.0,0.0,0.0,3,0,40,0.0
2548,0e9c7a1f,0,12,15,0.0,0.0,0.0,15,14,12,0.0
2550,0e9e5344,0,69,12,37.0,8.0,22.0,12,5,69,1.0
2551,0e9effd8,0,44,132,21.0,3.0,12.0,132,130,44,1.0
2564,0eadc635,1,10,13,2.0,2.0,2.0,12,7,32,0.0
2570,0eb715ae,0,54,83,15.0,3.0,10.0,83,13,54,1.0
2641,0f16c676,0,13,46,1.0,1.0,1.0,46,46,13,1.0
2676,0f49538c,0,34,14,20.0,12.0,15.0,14,13,34,0.0
2702,0f5f453f,0,6,9,2.0,1.0,2.0,9,9,6,0.0
2728,0f824660,0,42,9,9.0,5.0,6.0,9,0,42,0.0
2734,0f856dbb,0,18,0,8.0,2.0,5.0,0,0,18,0.0
