,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
39,00317e49,0,13,16,4.0,2.0,4.0,1,16,16,13,0.0
42,003476c0,0,43,107,6.0,2.0,3.0,4,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,3,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,1,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,2,90,51,22,1.0
77,006671fd,0,18,33,15.0,5.0,11.0,2,33,33,18,1.0
133,00c2f60d,0,149,136,116.0,18.0,57.0,7,136,8,149,0.0
135,00c955ce,0,72,21,22.0,5.0,8.0,18,21,5,72,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,1,2,2,24,1.0
301,01b91332,0,27,12,17.0,3.0,13.0,1,12,12,27,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,1,9,9,7,1.0
333,01f38aae,1,11,18,10.0,1.0,7.0,7,8,8,58,0.0
448,02875920,0,29,57,7.0,3.0,6.0,4,57,7,29,1.0
468,02a88a33,0,44,15,27.0,2.0,17.0,3,15,9,44,0.0
559,0328af6d,0,14,14,4.0,2.0,3.0,2,14,14,14,0.0
575,0341c285,0,12,16,3.0,1.0,2.0,2,16,16,12,0.0
592,0353af22,1,41,136,16.0,8.0,8.0,23,11,2,184,0.0
599,03630617,0,43,17,8.0,7.0,8.0,2,17,6,43,0.0
600,03631044,0,27,11,8.0,5.0,7.0,1,11,11,27,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,7,48,5,37,1.0
648,03af5596,0,3,138,1.0,1.0,1.0,1,138,138,3,0.0
666,03c2b5c1,3,29,59,18.0,5.0,12.0,25,2,1,325,0.0
675,03c815a4,0,10,19,3.0,1.0,2.0,2,19,16,10,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,4,2,0,43,1.0
