,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
42,003476c0,0,43,107,6.0,2.0,3.0,4,14.0,107,19,43,1.0
43,003847fc,0,102,14,32.0,7.0,9.0,22,102.0,14,0,102,0.0
50,003d4cac,0,8,69,2.0,2.0,2.0,3,0.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,1,5.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,2,0.0,90,51,22,1.0
76,00665dda,0,33,6,15.0,4.0,7.0,5,33.0,6,3,33,0.0
77,006671fd,0,18,33,15.0,5.0,11.0,2,0.0,33,33,18,1.0
120,00a91f61,0,30,62,6.0,1.0,4.0,3,0.0,62,35,30,0.0
131,00beac49,0,23,15,9.0,3.0,5.0,4,23.0,15,13,23,0.0
147,00d21f5e,0,8,13,3.0,1.0,2.0,2,8.0,13,1,8,0.0
182,010dce63,0,16,13,2.0,1.0,2.0,3,16.0,13,12,16,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,1,24.0,2,2,24,1.0
257,0172d307,0,17,0,6.0,3.0,5.0,2,17.0,0,0,17,0.0
258,0173b599,0,15,3,7.0,2.0,6.0,1,15.0,3,3,15,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,1,7.0,9,9,7,1.0
370,022b69a7,0,318,22,187.0,46.0,83.0,30,318.0,22,3,318,0.0
375,023039b3,0,49,87,37.0,4.0,20.0,4,30.0,87,14,49,0.0
448,02875920,0,29,57,7.0,3.0,6.0,4,22.0,57,7,29,1.0
494,02c9f7a6,0,15,8,6.0,2.0,6.0,1,15.0,8,8,15,0.0
502,02dbbcba,0,40,16,11.0,7.0,11.0,3,40.0,16,13,40,0.0
568,0330b185,0,99,8,60.0,15.0,34.0,3,99.0,8,7,99,0.0
589,0352d9b3,0,43,41,21.0,6.0,14.0,5,0.0,41,39,43,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,7,9.0,48,5,37,1.0
615,037bf2d2,0,46,25,18.0,3.0,14.0,4,46.0,25,20,46,0.0
642,03a7662e,0,7,9,3.0,1.0,2.0,1,7.0,9,9,7,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,5,43.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,3,5.0,1,1,5,1.0
696,03e36bd0,0,4,13,1.0,1.0,1.0,1,4.0,13,13,4,0.0
701,03e9630c,0,22,6,10.0,10.0,10.0,1,22.0,6,6,22,0.0
708,03f4ffdf,0,16,2,6.0,3.0,5.0,1,16.0,2,2,16,0.0
711,03f7983d,0,4,2,1.0,1.0,1.0,1,4.0,2,2,4,0.0
720,0404e68f,0,168,70,80.0,12.0,45.0,15,18.0,70,12,168,1.0
738,041dc456,0,8,15,5.0,1.0,2.0,1,8.0,15,15,8,1.0
774,043ec736,1,325,102,99.0,38.0,65.0,67,21.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,14,38.0,5,5,89,1.0
847,04923a0b,0,8,16,2.0,1.0,1.0,1,8.0,16,16,8,0.0
866,04a68895,0,26,2,18.0,7.0,13.0,1,26.0,2,2,26,0.0
882,04b93eba,0,16,12,3.0,2.0,3.0,2,16.0,12,12,16,0.0
883,04bbc907,0,343,113,213.0,22.0,66.0,47,0.0,113,37,343,1.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,2,15.0,75,12,23,1.0
934,052078d1,0,41,120,29.0,1.0,11.0,4,0.0,120,43,41,1.0
973,054b1dd6,0,12,7,6.0,1.0,3.0,2,12.0,7,7,12,0.0
982,05596145,0,68,7,37.0,5.0,11.0,8,68.0,7,1,68,1.0
1033,05ac0937,1,32,108,8.0,8.0,8.0,4,30.0,108,0,63,0.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,7,106.0,123,1,129,1.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,6,0.0,107,35,124,1.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,185.0,12,11,224,1.0
1121,065d92a9,0,6,1,1.0,1.0,1.0,1,6.0,1,1,6,0.0
1131,066cc592,0,20,10,11.0,3.0,8.0,1,20.0,10,10,20,0.0
1133,066e3023,0,27,9,2.0,1.0,1.0,4,27.0,9,0,27,0.0
1137,067925f5,0,349,25,262.0,19.0,75.0,24,349.0,25,5,349,0.0
1150,068925fa,0,27,31,6.0,2.0,4.0,3,27.0,31,15,27,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,1,8.0,27,27,8,1.0
1195,06be1d9b,0,3,14,0.0,0.0,0.0,1,3.0,14,14,3,0.0
1228,06d54c8f,0,61,7,28.0,5.0,21.0,6,61.0,7,1,61,0.0
1231,06db4ca8,0,21,1,9.0,5.0,6.0,1,21.0,1,1,21,0.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,10,125.0,17,0,125,1.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,1,0.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,3,31.0,15,6,31,1.0
1279,072647a2,0,27,5,5.0,2.0,3.0,4,27.0,5,2,27,0.0
1287,073e697a,0,39,49,7.0,3.0,7.0,4,36.0,49,13,39,1.0
1316,07709f79,0,48,0,21.0,6.0,17.0,1,48.0,0,0,48,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,73,179.0,139,2,634,1.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,47,104.0,134,1,276,1.0
1377,07cf3937,0,97,27,79.0,19.0,52.0,3,97.0,27,9,97,0.0
1410,07f95437,0,19,12,12.0,1.0,6.0,2,19.0,12,11,19,0.0
1414,07fe25b4,0,23,22,12.0,5.0,8.0,3,23.0,22,0,23,0.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,14,0.0,90,82,227,1.0
1437,08145396,0,33,16,13.0,10.0,11.0,1,33.0,16,16,33,0.0
1439,08176776,0,51,103,20.0,7.0,13.0,8,15.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,10,46.0,2,2,75,1.0
1470,084482af,0,53,24,20.0,9.0,14.0,5,53.0,24,2,53,1.0
1494,086bfd96,0,8,8,4.0,1.0,2.0,2,8.0,8,8,8,0.0
1496,0871df62,0,20,65,7.0,3.0,6.0,3,0.0,65,55,20,0.0
1514,0885e75e,0,65,2,25.0,13.0,19.0,2,65.0,2,2,65,0.0
1534,0899e1ff,0,53,12,34.0,3.0,18.0,7,53.0,12,0,53,0.0
1586,08e4065d,1,13,14,3.0,3.0,3.0,8,19.0,14,13,19,0.0
1597,08f88fb5,0,4,8,1.0,1.0,1.0,1,4.0,8,8,4,0.0
1601,08f9054d,3,1,63,0.0,0.0,0.0,7,36.0,15,15,49,0.0
1605,09008386,0,64,74,30.0,16.0,23.0,8,8.0,74,7,64,0.0
1627,09252ee6,0,205,149,101.0,11.0,40.0,16,70.0,149,4,205,0.0
1632,092e593f,0,80,5,29.0,5.0,15.0,12,80.0,5,0,80,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,1,8.0,0,0,8,1.0
1641,0941359c,0,252,43,192.0,15.0,79.0,8,0.0,43,38,252,0.0
1695,09921f80,0,16,13,4.0,3.0,3.0,1,16.0,13,13,16,0.0
1702,09a62e36,0,10,2,3.0,2.0,3.0,1,10.0,2,2,10,0.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,4,16.0,11,9,16,1.0
1707,09acaccb,0,83,16,61.0,5.0,32.0,6,83.0,16,1,83,0.0
1708,09adf503,0,149,16,99.0,13.0,50.0,8,149.0,16,2,149,1.0
1709,09aeec33,0,45,9,26.0,4.0,12.0,2,45.0,9,9,45,0.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,26,236.0,29,1,236,1.0
1738,09e63ce7,0,20,35,10.0,4.0,8.0,2,11.0,35,0,20,0.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,7,77.0,5,4,77,1.0
1780,0a19537c,3,40,2,11.0,4.0,4.0,6,98.0,2,1,98,0.0
1798,0a2b91c4,0,23,7,18.0,3.0,16.0,2,23.0,7,5,23,0.0
1803,0a2e8e0a,0,12,7,6.0,1.0,3.0,2,12.0,7,6,12,0.0
1859,0a68db07,1,26,30,9.0,6.0,7.0,11,239.0,4,1,239,0.0
1887,0a96b110,0,103,35,76.0,11.0,40.0,7,100.0,35,1,103,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,6,52.0,28,22,65,1.0
1959,0ae8b154,0,3,3,1.0,1.0,1.0,1,3.0,3,3,3,1.0
1968,0af42006,0,155,64,117.0,22.0,67.0,13,98.0,64,2,155,1.0
1995,0b22d4ea,0,5,2,1.0,1.0,1.0,1,5.0,2,2,5,0.0
2011,0b38b38b,0,16,16,12.0,2.0,9.0,1,16.0,16,15,16,0.0
2024,0b4c87e0,0,47,3,27.0,6.0,15.0,7,47.0,3,2,47,0.0
2053,0b71bc3d,0,13,9,4.0,2.0,3.0,1,13.0,9,9,13,0.0
2056,0b777bb8,0,164,15,122.0,23.0,77.0,9,164.0,15,9,164,0.0
2061,0b811e00,0,29,1,20.0,3.0,12.0,3,29.0,1,0,29,0.0
2062,0b8157ab,0,13,10,3.0,2.0,2.0,1,13.0,10,10,13,0.0
2100,0bafb7ee,0,27,15,14.0,2.0,6.0,1,27.0,15,15,27,0.0
2109,0bbc2081,0,48,68,12.0,2.0,8.0,7,37.0,68,0,48,0.0
2129,0be375bf,0,19,30,3.0,1.0,1.0,4,19.0,30,1,19,0.0
2133,0be3f5e5,2,136,86,48.0,19.0,37.0,27,0.0,60,49,460,1.0
2155,0c00db19,0,15,0,4.0,1.0,2.0,2,15.0,0,0,15,1.0
2194,0c3fb871,4,11,12,1.0,1.0,1.0,7,30.0,9,6,30,0.0
2232,0c962c1c,0,12,28,2.0,2.0,2.0,3,12.0,28,12,12,1.0
2258,0cc2b600,0,6,13,2.0,1.0,1.0,1,6.0,13,13,6,0.0
2308,0d14c834,0,6,14,2.0,1.0,1.0,1,6.0,14,14,6,0.0
2312,0d17ed80,0,31,0,10.0,2.0,4.0,3,31.0,0,0,31,0.0
2315,0d1af2db,0,21,0,17.0,5.0,15.0,1,21.0,0,0,21,1.0
2321,0d25019c,0,16,14,4.0,1.0,1.0,3,16.0,14,10,16,0.0
2374,0d68d38e,3,13,48,7.0,5.0,6.0,7,101.0,1,1,119,1.0
2377,0d6f5cd2,0,47,10,33.0,7.0,17.0,6,47.0,10,7,47,1.0
2385,0d79ae9e,0,8,1,5.0,1.0,2.0,1,8.0,1,1,8,1.0
2406,0d9c997e,0,18,11,7.0,3.0,6.0,1,18.0,11,11,18,0.0
2412,0da5ecfc,2,292,40,186.0,21.0,60.0,43,391.0,28,0,501,1.0
2432,0dbd8428,0,25,12,19.0,4.0,11.0,2,25.0,12,12,25,0.0
2437,0dc65a13,0,190,113,151.0,14.0,90.0,19,40.0,113,11,190,0.0
2438,0dc7138f,0,128,1,82.0,22.0,43.0,4,128.0,1,0,128,1.0
2459,0dfb1369,0,673,82,581.0,17.0,183.0,28,118.0,82,3,673,0.0
2540,0e865ade,0,67,52,37.0,5.0,26.0,6,58.0,52,1,67,0.0
2551,0e9e5344,0,69,12,37.0,8.0,22.0,9,69.0,12,5,69,1.0
2552,0e9effd8,0,44,132,21.0,3.0,12.0,5,0.0,132,130,44,1.0
2556,0ea26832,0,15,4,7.0,4.0,5.0,2,15.0,4,1,15,0.0
2571,0eb715ae,0,54,83,15.0,3.0,10.0,5,12.0,83,13,54,1.0
2642,0f16c676,0,13,46,1.0,1.0,1.0,2,0.0,46,46,13,1.0
2674,0f428318,0,57,12,40.0,2.0,16.0,3,57.0,12,0,57,0.0
2715,0f6c7452,1,7,15,1.0,1.0,1.0,4,46.0,0,0,46,0.0
2717,0f6c95b0,0,67,5,38.0,4.0,18.0,3,67.0,5,5,67,0.0
2733,0f83b95f,0,13,6,8.0,2.0,6.0,1,13.0,6,6,13,0.0
2778,0fd7ba4a,0,102,13,73.0,14.0,43.0,11,102.0,13,5,102,0.0
2786,0fe8e51e,0,34,30,2.0,2.0,2.0,3,34.0,30,11,34,1.0
2793,0ff026f5,0,9,76,3.0,3.0,3.0,2,0.0,76,72,9,1.0
2827,101db800,0,9,9,5.0,1.0,2.0,1,9.0,9,9,9,0.0
2846,1032896c,0,2,1,0.0,0.0,0.0,1,2.0,1,1,2,0.0
2850,103ad5ee,0,37,15,20.0,5.0,12.0,4,37.0,15,5,37,0.0
2954,10b9b93a,0,4,3,1.0,1.0,1.0,1,4.0,3,3,4,0.0
2955,10ba1481,0,99,33,75.0,16.0,51.0,4,87.0,33,10,99,0.0
3022,10ff5b8b,0,9,13,3.0,1.0,3.0,1,9.0,13,13,9,1.0
3031,11077937,0,22,76,10.0,3.0,9.0,2,12.0,76,14,22,0.0
3041,1115d6b4,0,36,15,28.0,7.0,16.0,1,36.0,15,15,36,0.0
3048,111d4242,2,8,95,1.0,1.0,1.0,30,38.0,13,11,121,0.0
3075,114353ec,0,10,14,3.0,2.0,2.0,1,10.0,14,14,10,0.0
3082,114f8401,0,4,10,1.0,1.0,1.0,1,4.0,10,10,4,0.0
3091,115ccf5d,0,39,1,20.0,5.0,14.0,2,39.0,1,1,39,0.0
3137,11b247a4,0,125,14,64.0,8.0,20.0,3,125.0,14,10,125,1.0
3139,11b3a3b1,0,29,40,12.0,3.0,9.0,3,20.0,40,0,29,0.0
3141,11b4e0fc,0,4,10,1.0,1.0,1.0,1,4.0,10,10,4,0.0
3191,11e8a164,0,39,52,11.0,3.0,6.0,5,19.0,52,1,39,1.0
3195,11ebd529,0,52,36,32.0,9.0,17.0,15,39.0,36,2,52,1.0
3206,120c29d3,0,9,0,3.0,1.0,3.0,1,9.0,0,0,9,1.0
3226,12381f34,0,20,11,15.0,1.0,10.0,2,20.0,11,10,20,0.0
3232,123e6920,2,1,90,0.0,0.0,0.0,20,3.0,2,2,152,1.0
3234,123fde23,1,42,142,16.0,8.0,11.0,8,7.0,140,21,105,1.0
3235,124016f7,0,4,13,1.0,1.0,1.0,1,4.0,13,13,4,0.0
3279,1279bda8,0,50,107,27.0,7.0,20.0,5,0.0,107,42,50,1.0
3282,127b811f,0,4,1,1.0,1.0,1.0,1,4.0,1,1,4,0.0
3328,12c99e0c,0,6,10,2.0,1.0,2.0,1,6.0,10,10,6,1.0
3344,12d951ea,1,1,42,0.0,0.0,0.0,2,8.0,8,8,11,0.0
3345,12db1140,0,2,94,0.0,0.0,0.0,1,0.0,94,94,2,1.0
3353,12e7a320,0,33,140,9.0,2.0,8.0,7,16.0,140,0,33,1.0
3369,13011acd,0,4,13,1.0,1.0,1.0,1,4.0,13,13,4,0.0
3398,132bda83,0,24,13,11.0,2.0,8.0,4,24.0,13,13,24,1.0
3408,133f4086,0,26,44,7.0,3.0,5.0,3,0.0,44,34,26,1.0
3438,137372d8,0,4,6,1.0,1.0,1.0,1,4.0,6,6,4,0.0
3462,139342c9,0,16,64,5.0,1.0,2.0,4,12.0,64,3,16,0.0
3489,13b1a37a,0,53,18,19.0,9.0,17.0,4,53.0,18,14,53,0.0
3514,13cdba8c,0,4,6,1.0,1.0,1.0,1,4.0,6,6,4,0.0
3517,13d06a0e,0,40,28,16.0,8.0,12.0,2,40.0,28,13,40,0.0
3540,13e9e8c5,0,11,8,7.0,2.0,5.0,1,11.0,8,8,11,0.0
3558,140376d0,0,26,15,18.0,3.0,10.0,3,26.0,15,14,26,1.0
3660,1498b979,0,4,2,1.0,1.0,1.0,1,4.0,2,2,4,0.0
3664,14a041b1,0,21,18,4.0,3.0,3.0,2,21.0,18,5,21,1.0
3685,14b26f9d,0,38,115,25.0,2.0,16.0,2,0.0,115,115,38,1.0
3686,14b2bbfd,0,32,16,20.0,3.0,18.0,1,32.0,16,16,32,0.0
3693,14ba67bf,2,16,21,1.0,1.0,1.0,6,45.0,15,6,45,1.0
3728,14fb3669,0,22,1,11.0,4.0,9.0,2,22.0,1,1,22,1.0
3741,150b08ea,1,3,1,0.0,0.0,0.0,2,62.0,1,1,62,0.0
3753,1517be31,0,19,3,14.0,4.0,9.0,1,19.0,3,3,19,1.0
3760,1527d159,0,51,29,19.0,6.0,14.0,8,51.0,29,14,51,0.0
3795,1554dda0,0,8,11,3.0,1.0,2.0,1,8.0,11,11,8,0.0
3811,1566cc6e,0,13,8,6.0,3.0,3.0,1,13.0,8,8,13,0.0
