,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,promedio_sesiones_sec,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
33,002b0188,0,38,76,12.0,9.0,11.0,2,474.00000000000006,26.0,76,14,38,0.0
42,003476c0,0,43,107,6.0,2.0,3.0,4,249.00000000000003,14.0,107,19,43,1.0
50,003d4cac,0,8,69,2.0,2.0,2.0,3,37.0,0.0,69,35,8,1.0
51,003dd965,0,5,15,0.0,0.0,0.0,1,77.0,5.0,15,15,5,1.0
55,0042421c,0,22,90,10.0,5.0,8.0,2,536.0,0.0,90,51,22,1.0
77,006671fd,0,18,33,15.0,5.0,11.0,2,122.00000000000001,0.0,33,33,18,1.0
132,00c2307c,0,83,58,71.0,8.0,30.0,3,1978.0000000000002,31.0,58,2,83,0.0
136,00c9a4eb,0,7,0,4.0,1.0,3.0,1,100.0,7.0,0,0,7,0.0
185,011120d7,0,7,4,1.0,1.0,1.0,2,74.0,7.0,4,4,7,0.0
217,0143d796,0,24,2,18.0,3.0,13.0,1,1392.0,24.0,2,2,24,1.0
276,0195ed3b,0,4,6,1.0,1.0,1.0,1,12.0,4.0,6,6,4,0.0
316,01cf1230,0,28,16,11.0,3.0,7.0,3,204.0,28.0,16,12,28,0.0
325,01ed2afc,0,7,9,4.0,1.0,3.0,1,25.0,7.0,9,9,7,1.0
351,0211eed9,1,35,45,7.0,1.0,3.0,15,356.0,49.0,20,3,139,0.0
365,0227ae9b,0,8,10,1.0,1.0,1.0,1,813.0,8.0,10,10,8,0.0
378,0234045a,0,34,76,19.0,13.0,15.0,3,207.0,23.0,76,12,34,0.0
448,02875920,0,29,57,7.0,3.0,6.0,4,99.0,22.0,57,7,29,1.0
450,02878a11,0,16,19,4.0,1.0,2.0,2,332.0,16.0,19,12,16,0.0
535,02fe14e6,0,32,27,17.0,10.0,13.0,5,282.0,32.0,27,20,32,0.0
548,0310a8cd,0,6,8,2.0,1.0,1.0,1,193.0,6.0,8,8,6,0.0
556,031fcae5,0,372,72,276.0,19.0,89.0,31,420.0,121.0,72,1,372,0.0
580,03490d00,0,13,15,7.0,1.0,5.0,1,64.0,13.0,15,15,13,0.0
610,03754d73,0,37,48,1.0,1.0,1.0,7,323.0,9.0,48,5,37,1.0
640,03a67237,0,13,2,2.0,1.0,1.0,1,837.0,13.0,2,2,13,0.0
676,03c99f07,0,43,2,6.0,3.0,5.0,5,459.00000000000006,43.0,2,0,43,1.0
690,03db7c49,2,2,1,0.0,0.0,0.0,3,0.0,5.0,1,1,5,1.0
720,0404e68f,0,168,70,80.0,12.0,45.0,15,230.00000000000003,18.0,70,12,168,1.0
738,041dc456,0,8,15,5.0,1.0,2.0,1,22.0,8.0,15,15,8,1.0
752,0432dba1,0,25,11,13.0,1.0,6.0,5,55.0,25.0,11,6,25,0.0
774,043ec736,1,325,102,99.0,38.0,65.0,67,754.0,21.0,64,31,568,1.0
793,0457712f,2,2,111,1.0,1.0,1.0,14,326.0,38.0,5,5,89,1.0
800,046642cb,0,28,13,13.0,1.0,6.0,4,577.0,28.0,13,2,28,0.0
835,04877609,6,40,70,9.0,7.0,7.0,13,752.0,21.0,58,2,127,0.0
883,04bbc907,0,343,113,213.0,22.0,66.0,47,122.00000000000001,0.0,113,37,343,1.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,2,1281.0,15.0,75,12,23,1.0
930,0518b8f2,0,31,79,26.0,3.0,13.0,2,181.0,26.0,79,2,31,0.0
934,052078d1,0,41,120,29.0,1.0,11.0,4,203.0,0.0,120,43,41,1.0
942,05288788,0,12,12,2.0,1.0,1.0,1,469.00000000000006,12.0,12,12,12,0.0
958,053ca79c,0,144,21,59.0,19.0,29.0,20,333.0,144.0,21,6,144,0.0
971,0548aae1,0,9,14,3.0,1.0,2.0,1,22.0,9.0,14,14,9,0.0
