,auc,parametros,modelo,nombre,test_size,random_state
0,0.8573787878787879,"{'max_depth': 3, 'min_child_weight': 7, 'eta': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AAFF3E80>,modelo_0.8573787878787879_auc_02_12_2018_20_33_18.model,0.25,1
1,0.8939698113207547,"{'max_depth': 3, 'min_child_weight': 7, 'eta': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x000001279F663470>,modelo_0.8939698113207547_auc_02_12_2018_20_34_37.model,0.25,5
2,0.8986374085052327,"{'max_depth': 3, 'min_child_weight': 5, 'eta': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AAFA2BA8>,modelo_0.8986374085052327_auc_02_12_2018_20_36_05.model,0.25,20
3,0.8992461780167986,"{'max_depth': 3, 'min_child_weight': 5, 'eta': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AD22F940>,modelo_0.8992461780167986_auc_02_12_2018_20_37_26.model,0.25,35
4,0.8873637279750817,"{'max_depth': 11, 'min_child_weight': 6, 'eta': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AAFED780>,modelo_0.8873637279750817_auc_02_12_2018_20_39_40.model,0.25,45
5,0.8736231884057971,"{'max_depth': 3, 'min_child_weight': 5, 'eta': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AD1F96D8>,modelo_0.8736231884057971_auc_02_12_2018_20_40_58.model,0.25,55
6,0.8703863114655068,"{'max_depth': 7, 'min_child_weight': 5, 'eta': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AAFEAA58>,modelo_0.8703863114655068_auc_02_12_2018_20_43_38.model,0.25,999
7,0.8985437186536951,"{'max_depth': 5, 'min_child_weight': 6, 'eta': 0.3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AD1F5E10>,modelo_0.8985437186536951_auc_02_12_2018_20_45_06.model,0.25,1500
8,0.8640221867383813,"{'max_depth': 3, 'min_child_weight': 5, 'eta': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AAFA2A20>,modelo_0.8640221867383813_auc_02_12_2018_20_46_31.model,0.3,1
9,0.8875905806628033,"{'max_depth': 6, 'min_child_weight': 6, 'eta': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'gamma': 0}",<xgboost.core.Booster object at 0x00000127AB0B99E8>,modelo_0.8875905806628033_auc_02_12_2018_20_48_17.model,0.3,5
